                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                  1.064,                 1.6983,                 1.6747,                 1.3893,                0.52176,                 0.5886,                0.62109,                0.35907,                0.52804,                0.59488,                0.63989,                0.48074,                 1.1163,                 1.7342,                 1.8589,                 1.5475,              0.0010318,              0.0010318,              0.0010318
                     74,                 1.0065,                 1.6257,                 1.6134,                 1.3759,                0.67215,                0.56142,                0.63443,                0.36811,                0.67215,                0.56142,                0.64396,                0.45855,                 1.1423,                 1.7149,                 1.8441,                 1.5244,              0.0010307,              0.0010307,              0.0010307
                     75,                 1.0179,                 1.4506,                 1.5259,                  1.401,                0.67215,                0.56142,                0.63443,                0.36811,                0.67215,                0.56142,                0.64396,                0.45855,                 1.1423,                 1.7149,                 1.8441,                 1.5244,              0.0010296,              0.0010296,              0.0010296
                     76,                 1.0855,                 1.3488,                 1.7083,                  1.454,                0.67215,                0.56142,                0.63443,                0.36811,                0.67215,                0.56142,                0.64396,                0.45855,                 1.1423,                 1.7149,                 1.8441,                 1.5244,              0.0010285,              0.0010285,              0.0010285
                     77,                0.99408,                 1.3896,                 1.5158,                 1.3696,                0.53982,                0.57323,                0.48073,                0.31342,                0.53053,                0.55853,                0.47114,                0.31934,                 1.1284,                  2.103,                 1.9004,                 1.5094,              0.0010274,              0.0010274,              0.0010274
                     78,                0.98696,                 1.5081,                 1.4584,                 1.3323,                0.53982,                0.57323,                0.48073,                0.31342,                0.53053,                0.55853,                0.47114,                0.31934,                 1.1284,                  2.103,                 1.9004,                 1.5094,              0.0010263,              0.0010263,              0.0010263
                     79,                0.98199,                 1.6956,                 1.6139,                 1.3519,                0.34371,                0.58309,                0.49552,                0.30256,                0.32984,                0.59779,                0.47969,                0.32158,                  1.073,                 1.9179,                 1.9277,                 1.4541,              0.0010252,              0.0010252,              0.0010252
                     80,                0.95634,                 1.4803,                 1.5609,                 1.3629,                0.34371,                0.58309,                0.49552,                0.30256,                0.32984,                0.59779,                0.47969,                0.32158,                  1.073,                 1.9179,                 1.9277,                 1.4541,              0.0010241,              0.0010241,              0.0010241
                     81,                0.91183,                 1.1767,                 1.4468,                 1.3041,                0.47982,                0.60588,                0.53986,                0.33115,                0.31997,                0.68309,                 0.4987,                0.33858,                 1.1044,                 1.6923,                 1.9747,                 1.4393,               0.001023,               0.001023,               0.001023
                     82,                0.98621,                  1.311,                 1.4893,                 1.3519,                0.47982,                0.60588,                0.53986,                0.33115,                0.31997,                0.68309,                 0.4987,                0.33858,                 1.1044,                 1.6923,                 1.9747,                 1.4393,              0.0010219,              0.0010219,              0.0010219
                     83,                 1.0447,                  1.481,                 1.6196,                 1.4894,                0.47982,                0.60588,                0.53986,                0.33115,                0.31997,                0.68309,                 0.4987,                0.33858,                 1.1044,                 1.6923,                 1.9747,                 1.4393,              0.0010208,              0.0010208,              0.0010208
                     84,                0.95685,                 1.2936,                 1.4539,                 1.3664,                0.50525,                0.52961,                0.64857,                0.45844,                 0.5216,                0.52647,                   0.66,                0.39544,                 1.1398,                 1.6741,                 1.9994,                 1.4105,              0.0010197,              0.0010197,              0.0010197
                     85,                0.90025,                 1.3057,                 1.4708,                 1.3273,                0.50525,                0.52961,                0.64857,                0.45844,                 0.5216,                0.52647,                   0.66,                0.39544,                 1.1398,                 1.6741,                 1.9994,                 1.4105,              0.0010186,              0.0010186,              0.0010186
                     86,                0.90659,                 1.0545,                 1.3458,                  1.279,                0.45596,                0.74381,                 0.6907,                0.47045,                0.43284,                 0.8161,                0.68755,                0.44611,                 1.0546,                 1.9603,                 1.7676,                 1.2995,              0.0010175,              0.0010175,              0.0010175
                     87,                0.98213,                 1.2543,                 1.4627,                 1.3743,                0.45596,                0.74381,                 0.6907,                0.47045,                0.43284,                 0.8161,                0.68755,                0.44611,                 1.0546,                 1.9603,                 1.7676,                 1.2995,              0.0010164,              0.0010164,              0.0010164
                     88,                0.95474,                 1.2245,                 1.4786,                 1.3792,                0.71893,                0.78363,                0.74523,                 0.3538,                0.71893,                0.78363,                0.74995,                0.46508,                 1.0208,                 2.0306,                 1.6787,                 1.2714,              0.0010153,              0.0010153,              0.0010153
                     89,                0.92722,                 1.4215,                 1.4643,                 1.3533,                0.71893,                0.78363,                0.74523,                 0.3538,                0.71893,                0.78363,                0.74995,                0.46508,                 1.0208,                 2.0306,                 1.6787,                 1.2714,              0.0010142,              0.0010142,              0.0010142
                     90,                0.90276,                 1.2933,                 1.3327,                 1.3055,                0.68022,                0.76091,                0.72819,                0.39715,                0.71941,                0.78972,                0.80866,                 0.5243,                 1.0745,                 1.8288,                 1.5971,                  1.331,              0.0010131,              0.0010131,              0.0010131
                     91,                0.99582,                 1.3875,                 1.4637,                 1.4011,                0.68022,                0.76091,                0.72819,                0.39715,                0.71941,                0.78972,                0.80866,                 0.5243,                 1.0745,                 1.8288,                 1.5971,                  1.331,               0.001012,               0.001012,               0.001012
                     92,                0.90658,                 1.1433,                 1.3455,                 1.3128,                0.68022,                0.76091,                0.72819,                0.39715,                0.71941,                0.78972,                0.80866,                 0.5243,                 1.0745,                 1.8288,                 1.5971,                  1.331,              0.0010109,              0.0010109,              0.0010109
                     93,                0.87255,                 1.2195,                 1.3772,                 1.2499,                0.66869,                0.63676,                0.72753,                0.39785,                0.76146,                0.68676,                0.81177,                0.52977,                 1.0875,                  1.858,                  1.649,                 1.4201,              0.0010098,              0.0010098,              0.0010098
